m_name,passenger-total,passenger-private,passenger-public,trucks-total,trucks-private,trucks-public,buses-total,motorcycles-total,motorcycles-passenger,motorcycles-freight-private,motorcycles-freight-public,NUTS3,Region
"ΣΥΝΟΛΟ ΕΛΛΑΔΑΣ","5235928","5202368","33560","1343830","1307335","36495","26481","1656657","1646558","4439","5660","","GREECE"
"ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","3073917","3054621","19296","442317","427928","14389","14013","803088","799122","1682","2284","",""
"ΑΤΤΙΚΗΣ","2887680","2870757","16923","285243","274543","10700","12236","734924","731797","1299","1828","EL300","Attiki"
"ΑΙΤΩΛΟΚΑΡΝΑΝΙΑΣ","54988","54159","829","57452","56072","1380","667","21177","20999","60","118","EL631","Aitoloakarnania"
"ΒΟΙΩΤΙΑΣ","31007","30695","312","24132","23478","654","288","6782","6684","56","42","EL641","Voiotia"
"ΕΥΒΟΙΑΣ","55190","54565","625","36709","35953","756","375","25500","25214","120","166","EL642","Evvoia"
"ΕΥΡΥΤΑΝΙΑΣ","779","739","40","3273","3205","68","56","666","657","5","4","EL643","Evrytania"
"ΦΘΙΩΤΙΔΑΣ","39444","38984","460","27471","26885","586","293","12226","12015","119","92","EL644","Fthiotida"
"ΦΩΚΙΔΑΣ","4829","4722","107","8037","7792","245","98","1813","1756","23","34","EL645","Fokida"
"ΠΕΛΟΠΟΝΝΗΣΟΥ","226115","223088","3027","166751","163152","3599","1739","137797","136435","759","603","",""
"ΑΡΓΟΛΙΔΑΣ","31298","31055","243","21673","21221","452","214","13639","13498","114","27","EL651","Argolida"
"ΑΡΚΑΔΙΑΣ","12516","12215","301","16673","16160","513","176","3623","3554","47","22","EL651","Arkadia"
"ΑΧΑΪΑΣ","104377","103414","963","34540","33700","840","499","59841","59514","157","170","EL632","Achaia"
"ΗΛΕΙΑΣ","18575","18129","446","22544","22196","348","219","15130","14904","140","86","EL633","Ileia"
"ΚΟΡΙΝΘΙΑΣ","8250","7901","349","27483","26970","513","275","17894","17679","120","95","EL652","Korinthia"
"ΛΑΚΩΝΙΑΣ","20335","20072","263","20403","20111","292","128","8936","8819","55","62","EL653","Lakonia"
"ΜΕΣΣΗΝΙΑΣ","30764","30302","462","23435","22794","641","228","18734","18467","126","141","EL653","Messinia"
"ΙΟΝΙΩΝ   ΝΗΣΩΝ","83853","83306","547","30079","29338","741","554","52435","52100","146","189","",""
"ΖΑΚΥΝΘΟΥ","16421","16317","104","5648","5533","115","56","10244","10167","39","38","EL621","Zakynthos"
"ΚΕΡΚΥΡΑΣ","48429","48181","248","13998","13642","356","351","29214","29064","62","88","EL622","Kerkyra"
"ΚΕΦΑΛΛΗΝΙΑΣ","12720","12569","151","6551","6366","185","104","6875","6793","33","49","EL623","Kefallinia"
"ΛΕΥΚΑΔΑΣ","6283","6239","44","3882","3797","85","43","6102","6076","12","14","EL624","Lefkada"
"ΗΠΕΙΡΟΥ","114642","113870","772","46953","45578","1375","702","32225","31899","146","180","",""
"ΑΡΤΑΣ","18261","18141","120","11156","10940","216","125","5218","5167","21","30","EL541","Arta"
"ΘΕΣΠΡΩΤΙΑΣ","12526","12404","122","8581","8364","217","79","5152","5105","9","38","EL542","Thesprotia"
"ΙΩΑΝΝΙΝΩΝ","66488","66108","380","17456","16794","662","396","12182","12025","95","62","EL543","Ioannina"
"ΠΡΕΒΕΖΑΣ","17367","17217","150","9760","9480","280","102","9673","9602","21","50","EL541","Preveza"
"ΘΕΣΣΑΛΙΑΣ","240256","238999","1257","106173","103530","2643","1291","83569","83077","202","290","",""
"ΚΑΡΔΙΤΣΑΣ","30973","30784","189","19800","19440","360","206","10162","10091","22","49","EL611","Karditsa"
"ΛΑΡΙΣΑΣ","101310","100841","469","39194","38264","930","421","22883","22743","44","96","EL612","Larisa"
"ΜΑΓΝΗΣΙΑΣ","68111","67717","394","25365","24587","778","363","33873","33666","111","96","EL613","Magnisia"
"ΤΡΙΚΑΛΩΝ","39862","39657","205","21814","21239","575","301","16651","16577","25","49","EL611","Trikala"
"ΜΑΚΕΔΟΝΙΑΣ","930748","925579","5169","306761","297351","9410","5109","238595","237084","478","1033","",""
"ΓΡΕΒΕΝΩΝ","7209","7148","61","5780","5645","135","50","1299","1287","2","10","EL531","Grevena"
"ΔΡΑΜΑΣ","27325","27086","239","11641","11171","470","283","9725","9652","39","34","EL514","Drama"
"ΗΜΑΘΙΑΣ","52226","51938","288","25893","25430","463","218","10735","10649","36","50","EL521","Imathia"
"ΘΕΣΣΑΛΟΝΙΚΗΣ","524814","522359","2455","98780","94800","3980","2420","138378","137504","239","635","EL522","Thessaloniki"
"ΚΑΒΑΛΑΣ","56989","56581","408","21712","20923","789","356","19313","19220","46","47","EL515","Kavala"
"ΚΑΣΤΟΡΙΑΣ","23395","23267","128","5784","5644","140","105","3537","3505","7","25","EL532","Kastoria"
"ΚΙΛΚΙΣ","23923","23773","150","11232","10957","275","160","4423","4391","13","19","EL523","Kilkis"
"ΚΟΖΑΝΗΣ","52934","52593","341","21524","20817","707","400","7336","7245","30","61","EL531","Kozani"
"ΠΕΛΛΑΣ","40106","39878","228","28616","28071","545","224","11619","11594","8","17","EL524","Pella"
"ΠΙΕΡΙΑΣ","38771","38568","203","18427","17783","644","198","10555","10513","22","20","EL525","Pieria"
"ΣΕΡΡΩΝ","48596","48211","385","26247","25642","605","339","13459","13365","23","71","EL526","Serres"
"ΦΛΩΡΙΝΗΣ","14030","13899","131","7760","7573","187","78","2370","2352","5","13","EL533","Florina"
"ΧΑΛΚΙΔΙΚΗΣ","20430","20278","152","23365","22895","470","278","5846","5807","8","31","EL527","Chalkidiki"
"ΘΡΑΚΗΣ","121929","121389","540","47266","46496","770","515","43221","43116","52","53","",""
"ΕΒΡΟΥ","53684","53452","232","22045","21642","403","184","14478","14454","2","22","EL511","Evros"
"ΞΑΝΘΗΣ","37709","37568","141","11459","11315","144","160","17997","17958","30","9","EL512","Xanthi"
"ΡΟΔΟΠΗΣ","30536","30369","167","13762","13539","223","171","10746","10704","20","22","EL513","Rodopi"
"ΝΗΣΩΝ  ΑΙΓΑΙΟΥ","175729","174186","1543","66939","65209","1730","1386","127171","125982","498","691","",""
"ΔΩΔΕΚΑΝΗΣΟΥ","89753","89053","700","21497","20969","528","497","48593","48207","129","257","EL421","Dodekanisos"
"ΚΥΚΛΑΔΩΝ","27115","26834","281","14761","14355","406","639","29168","28906","157","105","EL422","Kyklades"
"ΛΕΣΒΟΥ","25903","25633","270","16511","16062","449","108","23126","22869","102","155","EL411","Lesvos"
"ΣΑΜΟΥ","10067","9905","162","6403","6229","174","73","8992","8784","68","140","EL412","Samos"
"ΧΙΟΥ","22891","22761","130","7767","7594","173","69","17292","17216","42","34","EL413","Chios"
"ΚΡΗΤΗΣ","268739","267330","1409","130591","128753","1838","1172","138556","137743","476","337","",""
"ΗΡΑΚΛΕΙΟΥ","144896","144123","773","61113","60217","896","641","71124","70773","219","132","EL431","Irakleio"
"ΛΑΣΙΘΙΟΥ","29422","29267","155","22610","22336","274","125","17657","17528","67","62","EL432","Lasithi"
"ΡΕΘΥΜΝΟΥ","34709","34585","124","18983","18778","205","105","18125","18015","54","56","EL433","Rethymno"
"ΧΑΝΙΩΝ","59712","59355","357","27885","27422","463","301","31650","31427","136","87","EL434","Chania"
